City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
147,Mizdah,31.4451,12.9801,77.56,30,0,13.0,LY,clear sky
148,Oswego,43.4501,-76.1497,75.9,67,71,5.99,US,broken clouds
149,Batagay-Alyta,67.8006,130.4114,29.93,90,100,1.52,RU,overcast clouds
150,Jugsalai,22.7667,86.1833,95.7,45,45,12.44,IN,scattered clouds
151,Zhezkazgan,47.8043,67.7144,76.98,23,0,6.71,KZ,clear sky
152,Khrebtovaya,56.7032,104.2494,55.0,92,100,4.34,RU,light rain
153,Iqaluit,63.7506,-68.5145,29.93,86,100,6.91,CA,overcast clouds
154,Tuktoyaktuk,69.4541,-133.0374,28.4,100,100,5.75,CA,overcast clouds
155,Keffi,8.8486,7.8736,85.12,58,95,3.69,NG,overcast clouds
156,Rio Grande,-32.035,-52.0986,62.71,67,0,9.73,BR,clear sky
157,Wanning,18.8003,110.3967,77.86,89,50,3.29,CN,scattered clouds
158,Hofn,64.2539,-15.2082,50.02,87,100,11.5,IS,moderate rain
159,Fort Nelson,58.8053,-122.7002,36.99,65,75,0.0,CA,broken clouds
160,Nantucket,41.2835,-70.0995,59.14,100,100,5.75,US,mist
161,Khatanga,71.9667,102.5,31.42,90,74,9.55,RU,broken clouds
162,Hobart,-42.8794,147.3294,47.05,89,40,9.22,AU,scattered clouds
163,Namatanai,-3.6667,152.4333,79.3,79,50,5.17,PG,scattered clouds
164,Huaral,-11.495,-77.2078,67.44,83,67,4.72,PE,broken clouds
165,Salinopolis,-0.6136,-47.3561,74.84,95,100,9.64,BR,overcast clouds
166,Okhotsk,59.3833,143.3,33.46,96,97,2.66,RU,overcast clouds
167,Kapaa,22.0752,-159.319,72.12,97,75,3.44,US,light rain
168,Bengkulu,-3.8004,102.2655,78.53,81,19,2.93,ID,few clouds
169,Yelizovo,53.1873,158.3805,39.34,100,100,4.47,RU,overcast clouds
170,Cidreira,-30.1811,-50.2056,58.15,75,0,9.86,BR,clear sky
171,Cockburn Town,21.4612,-71.1419,80.46,82,100,18.61,TC,overcast clouds
172,Santa Ines,-3.6667,-45.38,79.77,79,100,4.32,BR,overcast clouds
